id,question,answer,doc
1,Was war das Ergebnis der Berliner Sparkasse im Jahr 2022?,132 Millionen Euro,Sparkasse
2,Um wie viel wurde der Kreditbestand der Berliner Sparkasse im Jahr 2022 ausgeweitet?,"1,7 Milliarden Euro",Sparkasse
3,Wie hoch war das Neugeschäft der gewerblichen Immobilienfinanzierung im Jahr 2022?,"2,55 Milliarden Euro",Sparkasse
4,Wie viele Konten wurden 2022 für ukrainische Geflüchtete eröffnet?,Fast 20.000,Sparkasse
5,Welches Programm hat zur Kostenreduktion bei der Berliner Sparkasse beigetragen?,Das Zukunftsprogramm,Sparkasse
6,Wie hoch war die Bilanzsumme der Berliner Sparkasse zum 31. Dezember 2022?,"48,8 Milliarden Euro",Sparkasse
7,Was war die harte Kernkapitalquote der Berliner Sparkasse am Ende des Jahres 2022?,"18,9 Prozent",Sparkasse
8,Wie viele neue Kredite vergab die Berliner Sparkasse im Jahr 2022?,"4,65 Milliarden Euro",Sparkasse
9,Wie viele private Girokonten wurden 2022 neu eröffnet?,32.000,Sparkasse
10,Wie hat sich das Depotvolumen der Berliner Sparkasse 2022 verändert?,"Von 7,42 Milliarden Euro auf 6,80 Milliarden Euro gesunken",Sparkasse
